Mandatory/Elective,Course Code,Course Name,Instructor,Credits,Acronym,Day,Start Time,End Time,Group,Message,Venue
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Tuesday,0930AM,1030AM,0,Lecture,C11
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Wednesday,1030AM,1130AM,0,Lecture,C11
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Friday,1030AM,1130AM,0,Lecture,C11
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Monday,0200PM,0400PM,3,Lab,L23
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Wednesday,0200PM,0400PM,5,Lab,L21
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Monday,0200PM,0400PM,1,Lab,L21
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Monday,0200PM,0400PM,2,Lab,L22
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Wednesday,0200PM,0400PM,4,Lab,L22
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Thursday,0200PM,0330PM,2,Tutorial,LR2
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Thursday,0200PM,0330PM,1,Tutorial,LR1
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Tuesday,0230PM,0400PM,5,Tutorial,LR2
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Tuesday,0230PM,0400PM,4,Tutorial,LR1
Mandatory,CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Thursday,0200PM,0330PM,3,Tutorial,LR3
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Tuesday,0930AM,1030AM,0,Lecture,C01
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Wednesday,1030AM,1130AM,0,Lecture,C01
