Course Code,Course Name,Instructor,Credits,Acronym,Day,Start Time,End Time,Group,Message,Venue
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Tuesday,0930AM,1030AM,0,Lecture,C01
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Wednesday,1030AM,1130AM,0,Lecture,C01
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Friday,1030AM,1130AM,0,Lecture,C01
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Tuesday,0200PM,0400PM,3,Lab,L22
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Tuesday,0200PM,0400PM,5,Lab,L23
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Thursday,0130PM,0330PM,1,Lab,L21
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Thursday,0130PM,0330PM,2,Lab,L22
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Thursday,0130PM,0330PM,4,Lab,L23
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Monday,0230PM,0400PM,4,Tutorial,LR1
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Monday,0230PM,0400PM,5,Tutorial,LR2
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Wednesday,0230PM,0400PM,1,Tutorial,S01
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Wednesday,0230PM,0400PM,2,Tutorial,S02
CSE102,Data Structures & Algorithms - A,Arun Balaji,4,DSA,Wednesday,0230PM,0400PM,3,Tutorial,C03
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Tuesday,0930AM,1030AM,0,Lecture,C11
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Wednesday,1030AM,1130AM,0,Lecture,C11
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Friday,1030AM,1130AM,0,Lecture,C11
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Monday,0200PM,0400PM,1,Lab,L21
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Monday,0200PM,0400PM,2,Lab,L22
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Monday,0200PM,0400PM,3,Lab,L23
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Thursday,0200PM,0400PM,4,Lab,L21
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Thursday,0200PM,0400PM,5,Lab,L22
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Tuesday,0230PM,0400PM,3,Tutorial,LR1
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Tuesday,0230PM,0400PM,4,Tutorial,LR2
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Thursday,0200PM,0330PM,0,Lecture,LR1
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Thursday,0200PM,0330PM,0,Lecture,LR2
CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Thursday,0200PM,0330PM,0,Lecture,LR3
MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Monday,0900AM,1000AM,0,Lecture,C01
MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Wednesday,0930AM,1030AM,0,Lecture,C01
MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Thursday,0900AM,1000AM,0,Lecture,C01
MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,1,Tutorial,LR1
MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,2,Tutorial,LR2
MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,3,Tutorial,LR3
MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,4,Tutorial,S01
MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,5,Tutorial,S02
MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,1030AM,1130AM,0,Lecture,C11
MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Wednesday,0930AM,1030AM,0,Lecture,C11
MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Thursday,1030AM,1130AM,0,Lecture,C11
MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,0900AM,1030AM,1,Tutorial,LR1
MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,0900AM,1030AM,1,Tutorial,LR2
MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,0900AM,1030AM,1,Tutorial,LR3
MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,0900AM,1030AM,1,Tutorial,S01
MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,0900AM,1030AM,1,Tutorial,S02
