Mandatory/Elective,Course Code,Course Name,Instructor,Credits,Acronym,Day,Start Time,End Time,Group,Message,Venue
Core,ECE113,Basic Electronics-Vivek Bohara,Vivek Bohara,4,BE,Monday,12:00PM,01:00PM,0,Tutorial,C23
Core,MTH201,Probability & Statistics-Angshul Majumdar,Angshul Majumdar,4,P&S,Wednesday,02:00PM,03:30PM,0,Tutorial,C24
Core,CSE102,Data Structure & Algorithms-Arun Balaji,Arun Balaji,4,DSA,Monday,02:00PM,03:30PM,1 2 3 4 5 6,Tutorial,C22
SSH Elective,SSH321,Applied Ethics(New)-Manohar Kumar,Manohar Kumar,4,AE,Friday,04:00PM,05:30PM,0,Lecture,C01
SSH Elective,SSH221,Social and Political Philosophy-Shweta Singh(G),Shweta Singh(G),4,SPP,Monday,04:00PM,05:30PM,0,Lecture,A006
Core,MTH201,Probability & Statistics-Angshul Majumdar,Angshul Majumdar,4,P&S,Wednesday,02:00PM,03:30PM,0,Tutorial,C12
Core,ECE113,Basic Electronics-Vivek Bohara,Vivek Bohara,4,BE,Friday,02:00PM,04:00PM,1 2 3 4 5 6,Lab,302/303/305
Core,ECE113,Basic Electronics-Vivek Bohara,Vivek Bohara,4,BE,Monday,12:00PM,01:00PM,0,Tutorial,C22
Core,ECE113,Basic Electronics-Vivek Bohara,Vivek Bohara,4,BE,Tuesday,10:30AM,11:30AM,0,Lecture,C101
Core,MTH201,Probability & Statistics-Angshul Majumdar,Angshul Majumdar,4,P&S,Wednesday,02:00PM,03:30PM,0,Tutorial,LR1
Core,CSE102,Data Structure & Algorithms-Arun Balaji,Arun Balaji,4,DSA,Monday,02:00PM,03:30PM,1 2 3 4 5 6,Tutorial,C13
Core,DES130,Introduction to Engineering Design-Aman Parnami,Aman Parnami,4,IED,Monday,10:30AM,12:00PM,0,Lecture,B105
SSH Elective,SSH124,Critical Thinking-Raj Ayyar (V),Raj Ayyar (V),4,CT,Wednesday,04:00PM,05:30PM,0,Lecture,A106
SSH Elective,PSY301,Cognitive Psychology-Venkat Ratandeep Suri,Venkat Ratandeep Suri,4,CP,Monday,04:00PM,05:30PM,0,Lecture,A007
SSH Elective,SSH214,Introdcution to Study of Literature-Honey Jhalani(G),Honey Jhalani(G),4,Lit,Friday,04:00PM,05:30PM,0,Lecture,A106
Core,CSE102,Data Structure & Algorithms-Arun Balaji,Arun Balaji,4,DSA,Friday,09:30AM,10:30AM,0,Lecture,C101
